,name,latitude,longitude,rating,number of reviews,affluence
0,Super Supper,23.7354602,90.4105606,4,67, 
1,Mukti Thai Chinese & Bangla Restaurant,23.7312548,90.4153312,4,45, 
2,Cafe Marinade,23.7427023,90.4295923,4.2,1674,$
3,Boomers Cafe,23.7417257,90.4103683,4,2523,$$
4,KFC,23.7300014,90.4111633,4.1,2400,$$
5,Sung Garden Restaurant,23.734011,90.409876,4.1,1162, 
6,Sky Deck Restaurant,23.7330992,90.4102943,4.1,51, 
7,Hirajheel Hotel,23.7253036,90.4218629,4.1,5626,$$
8,New Rupchada Restora,23.7269865,90.4190327,3.9,24, 
9,Cafe Famous,23.7420658,90.4100487,4,1215,$$
10,New Somtam Thai & Chinese Rastaurant,23.7400277,90.4137863,3.9,263, 
11,Dosa Express,23.7420977,90.4099669,4.1,1518,$$
12,Mid Night Sun 3,23.7369696,90.4123102,3.8,641, 
13,Food Hut,23.7344609,90.4077109,4.2,118, 
14,Ambrosia Restaurant & Music Cafe,23.7419459,90.4101027,3.7,453, 
15,One's Food,23.733417,90.4154497,0,0, 
16,Society Biriyani,23.7358488,90.4151265,0,0, 
17,"New Sohag Hotel and Restaurant. 47, Kakrail, Ramna, Dhaka - 1000.(নিউ সোহাগ হোটেল এন্ড রেস্টুরেন্ট। ৪৭, কাকরাইল, রমনা, ঢাকা - ১০০০)",23.7366337,90.4085669,0,0, 
18,Burger Xpress Baily Road,23.741912,90.4106851,4.2,829, 
19,Memories of Dhaka Restaurant,23.7434921,90.4127133,2,2, 
20,Rahmania Rooftop Restaurant and Terrace 21,23.7311713,90.4157344,4,580, 
21,Bistro 53,23.7270004,90.4204805,4.1,182,$$
22,Pushpadum Restaurant & Party Center,23.7299915,90.4144124,3.9,457, 
23,Grand Sultan,23.7331279,90.4223518,4,279,$$
24,Hotel Kasturi (Pvt.) Ltd.,23.7315188,90.410254,4.2,741,$$$
25,Little Arabia Restaurant,23.7395697,90.4145425,4,908,$$
26,Khusboo Restaurant,23.7336059,90.4177782,4.1,7, 
27,Fakruddin Biriyani & Cafe,23.741938,90.4083918,3.8,1314,$$
28,Dhansiri Restaurant,23.7301547,90.4078275,3.7,125, 
29,Food Land Cafe,23.7202302,90.4179879,4,1066,$$
30,Captain's Avenue,23.7446523,90.4069625,4,483, 
31,Flavino Restaurant,23.7250649,90.421172,3.8,11, 
32,Grand Darbar Restaurant,23.7198789,90.4200111,4,670,$$
33,Hotel Star (Pvt) Ltd,23.7210635,90.4132603,4.4,74, 
34,"Korai Gost, Dhaka.",23.7360295,90.413961,3.6,582,$$
35,The Green Lounge Bailey Road,23.7446701,90.4070306,4.2,300, 
36,Dhaka Kaba Biriyani & Restaurant,23.7373563,90.4103528,0,0, 
37,Takeout Ramna,23.7460378,90.4042979,4.3,719, 
38,Kudos Wari,23.719837,90.4164837,4.1,326, 
39,UniCafe Restaurant & Fun,23.7185105,90.416259,4.1,664,$$
